name	category	maturity	source	license	harnesses	upstream_repo	upstream_ref	upstream_path	import_mode	description
frontend-ui-development	implementation	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Build or modify frontend UI, components, state, styling, accessibility, and interactions.
github-actions-validation	delivery	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Inspect GitHub Actions, pull-request checks, and branch protection for delivery decisions.
github-issues-management	delivery	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Create, update, link, and summarize GitHub issues for traceable delivery.
github-pr-lifecycle	delivery	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Operate GitHub pull requests through guarded git and GitHub CLI lifecycle steps.
grill-me	conversation	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Stress-test a plan or design by interviewing through one decision at a time.
grill-with-docs	conversation	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Stress-test a plan against repository language and durable decision records.
handoff	delivery	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Create a compact handoff document for another agent or future session.
handoff-quality-review	agent-orchestration	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Review handoff artifacts for continuity, validation evidence, and missing context.
improve-codebase-architecture	review	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Find deeper architecture improvement opportunities across a codebase.
incremental-implementation	implementation	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Implement software changes in small, verified slices while preserving existing behavior.
observability-and-monitoring	delivery	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Add or review logs, metrics, traces, dashboards, alerts, and production diagnosis signals.
performance-profiling	diagnosis	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Measure, isolate, optimize, and verify performance bottlenecks and regressions.
planning-and-task-breakdown	planning	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Convert software goals into scoped, ordered, verifiable implementation plans.
prompt-regression-testing	agent-orchestration	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Test prompt, skill, and agent behavior against repeatable scenarios and expected checks.
property-based-testing	quality	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Design invariant, round-trip, generator, and stateful tests beyond example cases.
prototype	implementation	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Build a throwaway prototype to answer design, state, workflow, or UI questions.
pull-request-prep	delivery	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Prepare software changes for review with validation evidence, risks, and reviewer notes.
refactoring	implementation	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Improve internal software structure while preserving externally observable behavior.
release-readiness	delivery	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Assess whether changes are ready to release, deploy, tag, publish, or hand off.
repo-onboarding	context	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Map an unfamiliar repository's structure, stack, commands, conventions, and risks.
security-review	security	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Review code or designs for security risks, unsafe defaults, and defensive mitigations.
setup-agent-skills	agent-orchestration	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Set up project-local agent instructions and support docs for workflow skills.
skill-review	agent-orchestration	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Review skill quality, trigger clarity, overlap, validation gates, and context cost.
source-driven-development	implementation	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Ground implementation or review in authoritative code, tests, specs, schemas, or contracts.
test-driven-development	quality	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Drive software changes with a red-green-refactor loop and focused regression coverage.
to-issues	product	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Convert a plan, spec, PRD, or conversation into independently executable issues.
to-prd	product	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Synthesize current context into a product requirements document for implementation.
triage	product	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Triage bugs, feature requests, and issue tracker work through label states.
workflow-dry-run	agent-orchestration	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Dry-run an agent workflow before execution to find missing context, gates, and risks.
zoom-out	context	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Produce a higher-level map of unfamiliar code, modules, callers, and context.
